Date,Price,open,high,low,volume,Change %,close
2018-09-21,32540.17,32480.89,32784.33,32475.85,330380000.0,0.0018,32540.17
2018-09-24,32451.27,32540.17,32577.92,32427.54,190460000.0,-0.0027,32451.27
2018-09-25,33114.44,32646.43,33230.46,32646.43,222950000.0,0.0204,33114.44
2018-09-26,32963.27,33114.44,33202.3,32952.7,172190000.0,-0.0046,32963.27
2018-09-27,32763.35,32963.27,32983.99,32684.66,154280000.0,-0.0060999999999999995,32763.35
2018-09-28,32766.37,32763.35,32817.46,32661.14,184530000.0,0.0001,32766.37
2018-10-02,32711.65,32762.34,32815.19,32695.45,184590000.0,-0.0017000000000000001,32711.65
2018-10-03,32454.03,32711.65,32728.72,32434.67,136700000.0,-0.0079,32454.03
2018-10-04,32423.57,32454.03,32526.7,32395.25,151140000.0,-0.0009,32423.57
2018-10-05,32383.15,32423.57,32424.98,32332.3,166650000.0,-0.0012,32383.15
2018-10-08,32444.96,32383.15,32476.28,32383.15,120720000.0,0.0019,32444.96
2018-10-09,32417.7,32444.96,32477.47,32336.24,349530000.0,-0.0008,32417.7
2018-10-10,32382.58,32417.7,32466.73,32382.58,134450000.0,-0.0011,32382.58
2018-10-11,32417.82,32382.58,32443.08,32330.67,147520000.0,0.0011,32417.82
2018-10-12,32456.98,32417.82,32456.98,32335.75,162360000.0,0.0012,32456.98
2019-06-06,30527.07,30928.29,30948.16,30136.14,217190000.0,-0.013000000000000001,30527.07
2019-06-07,30432.13,30529.9,30982.78,30380.98,280000000.0,-0.0031,30432.13
2019-06-10,30322.19,30432.13,30459.43,30306.76,247280000.0,-0.0036,30322.19
2019-06-11,30099.83,30322.19,30322.19,30055.56,233430000.0,-0.0073,30099.83
2019-06-13,30029.15,30099.83,30150.05,30022.92,242560000.0,-0.0023,30029.15
2019-06-14,30046.7,30029.23,30086.61,29994.53,145280000.0,0.0006,30046.7
2019-06-17,29936.33,30046.7,30087.86,29933.25,2060000000.0,-0.0037,29936.33
2019-06-18,29818.8,29936.33,29936.33,29797.11,2060000000.0,-0.0039000000000000003,29818.8
2019-06-19,29772.72,29818.8,29891.86,29772.72,263430000.0,-0.0015,29772.72
2019-06-20,29765.31,29774.81,29897.18,29695.62,275470000.0,-0.0002,29765.31
2019-06-21,29851.29,29803.69,29890.61,29747.39,189940000.0,0.0029,29851.29
2019-06-24,29809.2,29851.29,29890.01,29694.91,573530000.0,-0.0014000000000000002,29809.2
2019-06-25,29668.68,29809.2,29814.38,29655.53,253370000.0,-0.004699999999999999,29668.68
2019-06-26,29609.0,29668.68,29697.43,29588.54,394020000.0,-0.002,29609.0
2019-06-27,29749.35,29609.0,29756.79,29224.23,301060000.0,0.004699999999999999,29749.35
2019-06-28,29966.87,29749.35,29978.81,29650.45,248360000.0,0.0073,29966.87
2019-07-01,29614.61,29966.87,29966.88,29593.82,107430000.0,-0.0118,29614.61
2019-07-02,29395.14,29614.61,29616.93,29395.14,200680000.0,-0.0074,29395.14
2019-07-03,29375.25,29395.14,29458.03,29300.7,237710000.0,-0.0007000000000000001,29375.25
2019-07-04,29300.09,29375.25,29466.94,29300.09,180400000.0,-0.0026,29300.09
2019-07-05,29270.95,29300.09,29318.09,29235.28,298400000.0,-0.001,29270.95
2019-07-08,29287.87,29270.95,29312.93,29216.7,216290000.0,0.0006,29287.87
2019-07-09,29318.85,29287.87,29318.85,28943.48,294400000.0,0.0011,29318.85
2019-07-10,29256.6,29318.02,29318.02,29010.33,188740000.0,-0.0021,29256.6
2019-07-11,28712.9,29256.6,29281.36,28637.58,188430000.0,-0.018600000000000002,28712.9
2019-07-12,28566.79,28712.9,28759.29,28563.31,100370000.0,-0.0051,28566.79
2019-07-15,28341.03,28566.79,28577.41,28337.52,175170000.0,-0.0079,28341.03
2019-07-16,28200.88,28340.98,28566.41,28138.5,216680000.0,-0.0049,28200.88
2019-07-17,28042.8,28197.66,28251.78,28042.68,243700000.0,-0.005600000000000001,28042.8
2019-07-18,27864.49,28046.02,28067.62,27864.49,175360000.0,-0.0064,27864.49
2019-07-19,27919.5,27864.49,27948.24,27803.57,273900000.0,0.002,27919.5
2019-07-22,27808.69,27919.5,28070.43,27808.69,285760000.0,-0.004,27808.69
2019-07-23,28144.87,27808.69,28144.87,27791.98,135180000.0,0.0121,28144.87
2019-07-24,28088.74,28144.87,28292.44,28070.65,157770000.0,-0.002,28088.74
2019-07-25,27990.61,28088.74,28103.69,27985.62,359110000.0,-0.0034999999999999996,27990.61
2019-07-26,27918.59,27990.61,28031.67,27900.57,130850000.0,-0.0026,27918.59
2019-07-29,27950.36,27918.59,27976.14,27912.7,92790000.0,0.0011,27950.36
2019-07-30,27820.57,27950.36,28028.27,27814.13,155180000.0,-0.0046,27820.57
2019-07-31,27718.26,27816.89,27902.51,27679.02,251920000.0,-0.0037,27718.26
2019-08-01,27748.46,27718.26,27748.46,27615.46,97360000.0,0.0011,27748.46
2019-08-02,27630.46,27748.46,27792.77,27623.58,161650000.0,-0.0043,27630.46
2019-08-05,27669.38,27630.46,27674.85,27584.11,280690000.0,0.0014000000000000002,27669.38
2019-08-06,27527.4,27669.38,27706.47,27521.0,170720000.0,-0.0051,27527.4
2019-08-07,27412.13,27527.4,27534.56,27404.26,128919999.99999999,-0.0042,27412.13
2019-08-08,27424.92,27412.13,27450.92,27308.64,279630000.0,0.0005,27424.92
2019-08-09,27306.81,27424.92,27434.59,27306.81,220800000.0,-0.0043,27306.81
2019-08-14,27083.11,27303.13,27307.6,27083.11,235120000.0,-0.008199999999999999,27083.11
2019-08-15,27052.93,27083.11,27120.09,26895.43,233090000.0,-0.0011,27052.93
2019-08-16,26925.29,27058.88,27203.58,26789.38,258290000.00000003,-0.004699999999999999,26925.29
2019-08-19,27117.22,26928.8,27172.42,26928.35,250740000.0,0.0070999999999999995,27117.22
2019-08-20,27058.62,27128.77,27217.88,26938.05,209620000.0,-0.0022,27058.62
2019-08-21,27352.94,27058.03,27352.94,27043.28,363970000.0,0.0109,27352.94
2019-08-22,27629.66,27352.94,27650.89,27352.94,272600000.0,0.0101,27629.66
2019-08-23,27800.17,27629.66,27849.25,27624.27,339620000.0,0.0062,27800.17
2019-08-26,27691.85,27800.17,27851.37,27601.78,158270000.0,-0.0039000000000000003,27691.85
2019-08-27,27602.77,27691.85,27691.85,27475.64,183650000.0,-0.0032,27602.77
2019-08-28,27607.02,27602.77,27626.37,27546.34,130370000.0,0.0002,27607.02
2019-08-29,27425.57,27607.02,27643.5,27423.36,116070000.0,-0.0066,27425.57
2019-08-30,27525.81,27425.57,27602.39,27326.4,124740000.0,0.0037,27525.81
2019-09-02,27565.14,27540.42,27677.37,27463.76,111500000.0,0.0014000000000000002,27565.14
2019-09-03,27586.79,27565.09,27606.28,27481.18,294400000.0,0.0008,27586.79
2019-09-04,27319.64,27590.44,27606.85,27283.67,250450000.0,-0.0097,27319.64
2019-09-05,27252.09,27319.64,27319.64,27273.14,133340000.0,-0.0025,27252.09
2019-09-06,27146.57,27252.09,27582.15,26895.56,311260000.0,-0.0039000000000000003,27146.57
2019-09-09,27089.84,27146.57,27231.76,27086.61,290490000.0,-0.0021,27089.84
