,Date,Price,Open,High,Low,Vol.,Change %,Close,rsi,rsi at 70,rsi at 30,rsi at 50,buy,sell,Stop_loss,Profit,future_returns
125,01/03/2017,"25,183.10","25,329.08","25,351.80","25,183.10",228.02M,-0.58%,25183.1,37.58102912103176,70,30,50,,,,,-0.01719529123527508
126,02/03/2017,"24,829.59","25,183.10","25,204.97","24,762.07",186.00M,-1.40%,24829.59,26.855643460959772,70,30,50,,,,24829.59,0.02226345385381734
127,03/03/2017,"25,012.08","24,829.59","25,037.40","24,829.59",274.17M,0.73%,25012.08,37.14481109386694,70,30,50,,,,,-0.005700523731887119
128,06/03/2017,"24,581.99","25,012.08","25,136.10","24,568.07",128.16M,-1.72%,24581.99,27.14541673124285,70,30,50,,,,,0.00737772562416894
129,07/03/2017,"25,129.27","24,581.99","25,129.27","24,547.37",215.36M,2.23%,25129.27,47.23025239807688,70,30,50,,25129.27,,,0.002687685039069576
130,08/03/2017,"24,986.02","25,129.27","25,169.10","24,932.24",218.72M,-0.57%,24986.02,43.724518232314075,70,30,50,,,,,-0.0040169569629300295
131,09/03/2017,"25,170.36","24,986.02","25,292.47","24,877.20",215.91M,0.74%,25170.36,49.12402289999928,70,30,50,,,,,0.005885037095266998
132,10/03/2017,"25,238.01","25,170.36","25,543.40","25,167.17",245.39M,0.27%,25238.01,51.0395394219995,70,30,50,,,,,0.0006592956333824063
133,13/03/2017,"25,136.63","25,238.01","25,238.85","25,062.25",135.40M,-0.40%,25136.63,48.028515023275695,70,30,50,,,,,0.0046183525464968955
134,14/03/2017,"25,284.56","25,136.63","25,284.56","25,041.41",227.76M,0.59%,25284.56,52.565461620889344,70,30,50,,,,,0.009248534901141081
135,15/03/2017,"25,301.23","25,284.56","25,315.56","25,235.94",233.78M,0.07%,25301.23,53.078333401453094,70,30,50,,,,,0.0007168707480871284
136,16/03/2017,"25,418.08","25,301.23","25,469.06","25,278.87",279.95M,0.46%,25418.08,56.722721928279796,70,30,50,,,,,-0.004400980852344305
137,17/03/2017,"25,653.16","25,418.08","25,678.51","25,408.44",151.38M,0.92%,25653.16,63.124914501210895,70,30,50,,,,,-0.0017403164574543162
138,20/03/2017,"25,671.55","25,653.16","25,671.55","25,549.65",495.24M,0.07%,25671.55,63.59305538015578,70,30,50,,,,,-2.351641779196889e-06
139,21/03/2017,"25,558.57","25,671.55","25,680.63","25,484.90",153.72M,-0.44%,25558.57,58.52155223798372,70,30,50,,,,,-0.002316372599702965
140,22/03/2017,"25,514.09","25,558.57","25,561.25","25,495.57",198.84M,-0.17%,25514.09,56.54880634366255,70,30,50,,,,,0.0011879820529854257
141,23/03/2017,"25,514.03","25,514.09","25,558.33","25,453.07",115.11M,0.00%,25514.03,56.545949405936845,70,30,50,,,,,-0.0030782608081483254
142,24/03/2017,"25,454.93","25,512.69","25,516.94","25,380.58",142.00M,-0.23%,25454.93,53.58316910336196,70,30,50,,,,,-0.005472567887551016
143,27/03/2017,"25,485.17","25,454.93","25,497.56","25,406.27",557.06M,0.12%,25485.17,54.92586345182653,70,30,50,,,,,0.010532822958023713
144,28/03/2017,"25,406.72","25,485.17","25,514.97","25,303.19",191.95M,-0.31%,25406.72,50.698537297931665,70,30,50,,,,,-0.0006845822520875622
145,29/03/2017,"25,267.68","25,406.72","25,415.22","25,214.59",521.66M,-0.55%,25267.68,44.025848105586704,70,30,50,,,,,-0.009535458455248724
146,30/03/2017,"25,533.82","25,267.68","25,533.82","25,212.17",294.18M,1.05%,25533.82,56.2674478001981,70,30,50,,,,,-0.00027222695497919336
147,31/03/2017,"25,516.34","25,533.82","25,561.99","25,444.13",377.51M,-0.07%,25516.34,55.38351362979726,70,30,50,,,,,0.008134994844881227
148,03/04/2017,"25,273.03","25,516.34","25,555.73","25,251.19",97.69M,-0.95%,25273.03,44.5576810292155,70,30,50,,,,,0.01112961095239462
149,04/04/2017,"25,266.15","25,273.03","25,339.70","25,243.18",180.12M,-0.03%,25266.15,44.28570518264803,70,30,50,,,,,-0.00033624303926438337
150,05/04/2017,"25,471.69","25,266.15","25,471.69","25,255.52",158.70M,0.81%,25471.69,53.672404771654314,70,30,50,,,,,-0.004666650094847791
151,06/04/2017,"25,755.18","25,471.69","25,764.45","25,471.69",241.51M,1.11%,25755.18,63.17927383621116,70,30,50,,,,,-0.005787397903019298
152,07/04/2017,"25,746.52","25,755.18","25,818.98","25,656.23",107.94M,-0.03%,25746.52,62.742259635719,70,30,50,,,,,0.0007320023581072199
153,10/04/2017,"25,626.37","25,746.52","25,749.87","25,575.33",191.83M,-0.47%,25626.37,56.69662999389578,70,30,50,,,,,0.0005216359287139039
154,11/04/2017,"25,478.06","25,626.37","25,637.96","25,468.88",402.67M,-0.58%,25478.06,50.07847911080394,70,30,50,,,,,-0.011442175052067793
