open,high,low,close,volume
185.48,185.63,185.24,185.6,13599.0
185.99,186.0,185.45,185.48,30129.0
185.55,186.46,185.0,186.0,50071.0
184.05,184.08,184.0,184.08,35088.0
184.07,184.07,184.01,184.06,11910.0
184.08,184.1,184.04,184.05,11264.0
184.12,184.14,184.07,184.08,16181.0
184.14,184.18,184.11,184.11,9725.0
184.18,184.2,184.1,184.14,8220.0
184.19,184.2,184.03,184.2,9321.0
184.03,184.2,184.0,184.2,15332.0
184.085,184.11,184.0,184.02,10913.0
184.11,184.19,184.02,184.07,10249.0
184.09,184.2,184.0,184.15,15089.0
184.181,184.2,184.06,184.09,11035.0
184.07,184.3,184.04,184.19,12781.0
184.03,184.08,184.02,184.07,9272.0
184.01,184.08,184.0,184.045,6001.0
183.995,184.08,183.96,184.03,8641.0
183.96,184.1,183.95,184.0,13257.0
183.945,184.0,183.94,183.96,31398.0
183.89,184.0,183.89,183.95,10340.0
183.95,183.96,183.85,183.89,9160.0
183.88,183.88,183.83,183.87,7872.0
183.82,183.99,183.75,183.88,17629.0
183.735,183.87,183.6,183.84,8964.0
183.85,183.88,183.73,183.74,7021.0
183.825,183.9,183.8,183.87,8393.0
183.9,183.9,183.63,183.8,7552.0
183.9,183.99,183.55,183.716,14811.0
183.65,184.23,183.63,183.981,65393.0
183.46,183.64,183.44,183.64,16181.0
183.36,183.49,183.32,183.45,10431.0
183.345,183.44,183.26,183.4,7929.0
183.43,183.45,183.25,183.39,10014.0
183.45,183.48,183.43,183.44,7484.0
183.4,183.48,183.35,183.465,13356.0
183.41,183.5,183.38,183.41,8262.0
183.48,190.8,182.16,183.38,11678.0
183.47,219.28,164.274,183.45,10345.0
183.47,246.142,164.274,183.48,48035.0
183.45,183.5,183.35,183.48,15140.0
183.36,196.98,151.11,183.39,20654.0
183.27,183.41,183.25,183.36,37624.0
183.23,183.28,183.22,183.28,21573.0
183.21,183.25,183.18,183.22,26204.0
183.22,183.29,182.712,183.2,12283.0
183.32,183.32,183.11,183.22,14905.0
183.28,183.32,183.15,183.265,29478.0
183.1,183.33,183.04,183.28,56148.0
183.22,183.38,183.04,183.13,4288542.0
183.16,183.47,183.14,183.22,2020383.0
183.08,183.28,182.865,183.155,1262488.0
182.87,183.2,182.65,183.08,1229935.0
182.77,182.93,182.63,182.868,948165.0
183.14,183.23,182.77,182.771,841020.0
182.63,183.23,182.61,183.16,1186925.0
182.72,182.92,182.38,182.63,1076371.0
183.07,183.078,182.65,182.728,968243.0
183.105,183.297,183.04,183.071,729911.0
182.94,183.15,182.76,183.11,765925.0
183.01,183.26,182.881,182.94,849031.0
183.27,183.32,182.88,183.02,823213.0
183.081,183.38,182.971,183.27,825177.0
183.04,183.2,182.9,183.08,576580.0
183.03,183.1,182.78,183.03,658171.0
183.15,183.29,182.85,183.04,910236.0
182.5,183.19,182.42,183.15,1129024.0
182.3,182.55,182.12,182.492,702340.0
182.25,182.45,182.1,182.28,685915.0
182.46,182.5,182.141,182.232,830533.0
182.45,182.53,182.38,182.46,413778.0
182.539,182.64,182.34,182.452,743010.0
182.46,182.59,182.37,182.531,525394.0
182.655,182.66,182.4,182.459,719071.0
182.46,182.77,182.35,182.644,714800.0
182.425,182.6,182.331,182.458,702806.0
182.62,182.9,182.291,182.42,923785.0
182.77,182.92,182.31,182.61,1143093.0
183.11,183.15,182.7,182.761,706769.0
183.49,183.63,183.0,183.11,838045.0
183.1,183.52,183.08,183.48,857174.0
182.72,183.21,182.7,183.1,904094.0
182.92,183.16,182.71,182.714,804824.0
183.125,183.26,182.8,182.93,823592.0
182.98,183.37,182.91,183.12,849786.0
183.756,183.756,182.9,182.987,1406002.0
183.91,184.22,183.75,183.751,869527.0
